id_,address,city,country,latitude,longitude,name_,postalCode,province,twitter,websites
AVwcvxLSkufWRAb5yk-8,1735 19th St,Denver,US,39.7552,-104.997,Denver ChopHouse & Brewery,80202,CO,denverchophouse,"http://www.denverchophouse.com,http://denverchophouse.com"
AV1TqysE3D1zeR_xE-pV,8700 Pena Blvd,Denver,US,39.839657,-104.67186,Denver Chophouse and Brewery,80249,CO,,
AV1TrojULD2H7whiaK47,1875 S. Pearl St,Denver,US,39.682568,-104.98078,Denver pearl brewing,,CO,,
AVwdJZrPIN2L1WUfsrsq,3855 Mariposa St,Denver,US,39.769974,-105.00296,Diebolt Brewing Co.,80211,CO,,http://dieboltbrewing.com
AVwczZ0KByjofQCxiWrV,6762 Lowell Blvd,Denver,US,39.819044,-105.034453,Ds Midtown Tavern,80221,CO,,http://rickgarciaband.com
AVwdQuH3ByjofQCxnPfO,1660 Champa St,Denver,US,39.747169,-104.993057,D'vine Wine Denver,80202,CO,,http://www.dvinewineusa.com
AVwdIhuy_7pvs4fz2luk,45 Federal Blvd,Denver,US,39.7176,-105.0253,El Ballezano,80219,CO,,
AVwdMaE3IN2L1WUftMkM,3001 Walnut St,Denver,US,39.76317,-104.981319,Epic Brewing Denver,80205,CO,,http://epicbrewing.com
AVweHjS1_7pvs4fzAMnJ,3845 Lipan St,Denver,US,,,Factotum Brewhouse,80211,CO,factotumbrew,http://www.factotumbrewhouse.com
AVwegOZ8kufWRAb5DilT,1715 E Evans Ave,Denver,US,39.67862122,-104.9670275,Fermaentra Brewery And Tap Room,80210,CO,,http://fermaentra.com
AVwcmreKByjofQCxgJHh,7101 E Colfax Ave,Denver,US,39.74032636,-104.9056578,Fiction Beer Company,80220,CO,fictionbeer,http://www.fictionbeer.com
AVweKWNq_7pvs4fzAlSQ,1309 26th St,Denver,US,39.758587,-104.98543,First Draft,80205,CO,firstdraftden,http://www.firstdraftdenver.com
AV1eRowYa4HuVbed6skO,2401 Blake St Ste 2,Denver,US,39.7585,-104.9891,Flying Dog Brewery,80205,CO,,
AV1TqxDj-gnIPe8DWj1S,1290 S Broadway,Denver,US,39.737567,-104.9847179,Former Future Brewing Company,80210,CO,formerfutureco,http://embracegoodtaste.com
AVwdnugRByjofQCxq6rK,2600 W 8th Ave,Denver,US,39.729,-105.0195,Go Fast Sports,80204,CO,,
AVwd1cPw_7pvs4fz9r74,4970 Lowell Blvd,Denver,US,39.786845,-105.034408,Goldspot Brewing Co,80221,CO,goldspotbrew,http://goldspotbrewing.com
AVwdKm-qkufWRAb52-X3,1710 S Broadway,Denver,US,39.68551286,-104.9873892,Grandma's House,80210,CO,grandmasbeerco,http://www.grandmasbeer.co
AVwdkusEIN2L1WUfxJvi,1812 35th St,Denver,US,39.7702599,-104.979187,Great Divide Barrel Bar,80216,CO,greatdividebrew,http://greatdivide.com
AVweJNOf_7pvs4fzAawg,2201 Arapahoe St,Denver,US,39.7536,-104.9885,Great Divide Brewing Co.,80205,CO,greatdividebrew,http://www.greatdivide.com
AVwcl1_C_7pvs4fzwzpt,2010 S Oak St,Denver,US,39.680602,-105.117872,Great Frontier Brewing Co,80227,CO,,http://greatfrontierbeer.com
AV1dDKnf3-Khe5l_MjiB,2585 S Lewis Way C,Denver,US,,,Green Mountain Brewery,80227,CO,,
AVwdqITv_7pvs4fz8EJU,3519 Brighton Blvd,Denver,US,39.771,-104.9785,Happy Leaf Kombucha,80216,CO,happyleafbucha,http://happyleafkombucha.com
AVwcgK-F_7pvs4fzvxT9,1338 S Valentia St,Denver,US,39.692422,-104.891554,Highland Water,80247,CO,copperkettleden,http://www.copperkettledenver.com/
AVwcxObjkufWRAb5y05Z,24 Broadway,Denver,US,39.71699,-104.987366,Historian's Ale House,80203,CO,hahdenver,"http://www.historiansalehouse.com/,http://historiansalehouse.com"
AVweaIC8IN2L1WUf4pSm,4460 W. 29th Ave,Denver,US,39.75821,-105.04504,Hogshead Brewery,80212,CO,,"http://www.hogsheadbrewery.com/,http://hogsheadbrewery.com"
AVwcxXIbIN2L1WUfouAw,12354 W Alameda Pkwy,Denver,US,39.703346,-105.136215,Ironworks Brewery & Pub,80228,CO,,"http://ironworkspub.com,http://www.ironworkspub.com"
AVwdaBdEIN2L1WUfve4-,1139 20th St,Denver,US,39.75226,-104.99139,Jagged Mountain Brewery,80202,CO,,"http://www.jaggedmountainbrewery.com/,http://jaggedmountainbrewery.com"
AVwdogy2IN2L1WUfxvpR,385 Union Blvd,Denver,US,39.72232,-105.13297,Jose O'Sheas,80228,CO,,"http://www.joseosheas.com/,http://joseosheas.com"
AV5XxeYTRxPSIh2Rir9j,2501 Sheridan Blvd,Denver,US,39.7532,-105.0537,Joyride Brewing,80214,CO,,
AVzYj7Gp-gnIPe8DTQmP,29 place des Pilotes,Denver,US,,,La Terrasse,80230,CO,,
AV2gdeLGIxWefVJwi6gg,4950 Nome St E,Denver,US,,,Leopold Brothers,80239,CO,,
AVwdiYvp_7pvs4fz63Yt,2924 W 20th Ave,Denver,US,39.74741737,-105.0242967,Little Machine Beer,80211,CO,drinkrobotbeer,"http://littlemachinebeer.com,http://littlemachinebeer.com/,http://www.littlemachinebeer.com"
AVwdOxI6kufWRAb53r_R,520 E Colfax Ave,Denver,US,39.739902,-104.980073,Lost Highway Brewing Co,80203,CO,,http://www.losthighwaybrewing.com
AVwdbdJJByjofQCxpBWx,800 N Lincoln St,Denver,US,39.7293,-104.9858,Lowdown Brewery+Kitchen,80203,CO,lowdownbrewery,http://lowdownbrewery.com
AVwcuVZuByjofQCxheeb,4526 Tennyson St,Denver,US,39.778929,-105.043609,Mas Kaos Pizzeria & Taqueria,80212,CO,,"https://maskaosdenver.com/,https://maskaosdenver.com"
AVwdCy4KIN2L1WUfrnxe,3501 Delgany St,Denver,US,39.7712,-104.9797,Mockery Brewing,80216,CO,mockerybrewing,http://mockerybrewing.com
AVwdLkFAIN2L1WUftDZY,5809 W 44th Ave,Denver,US,39.77668,-105.06026,Molly's Spirits,80212,CO,mollysspirits,"http://mollysspirits.com,http://www.mollysspirits.com"
AV1c8yeA3-Khe5l_MU2a,1801 California St 4600,Denver,US,39.7471,-104.9899,Molson Coors Brewing Co,80202,CO,,
AV50ndvBa4HuVbedEKyN,8500 Pena Blvd B80,Denver,US,,,New Belgium Hub,80249,CO,,
AVweETJPByjofQCxu_C4,1414 Market St.,Denver,US,39.74828,-105.00037,Oak Tavern,80202,CO,,
AVwcpQMaByjofQCxgmSE,2810 Larimer St,Denver,US,39.76060651,-104.9825338,Our Mutual Friend Brewing Company,80205,CO,omfbrewing,http://www.omfmb.com
AVwcrlAtIN2L1WUfntqX,6921 Lowell Blvd,Denver,US,39.822472,-105.034535,Outpost Bar,80221,CO,,
AVweXvgJIN2L1WUf4VAJ,221 W 13th Ave,Denver,US,39.737026,-104.99079,Pints Pub,80204,CO,,"http://pintspub.com/,http://www.pintspub.com"
AVwcx-m8ByjofQCxiHrZ,1875 S. Pearl St.,Denver,US,39.682567,-104.980497,Platt Park Brewing Co,80210,CO,plattparkbrew,http://www.plattparkbrewing.com
AVwc0bZfkufWRAb5zW0v,2540 19th St,Denver,US,39.76138,-105.00667,Prost Brewing,80211,CO,prostbrewing,http://www.prostbrewing.com
AVwd2_dekufWRAb593yG,2920 Larimer St,Denver,US,39.7615,-104.981,Ratio Beerworks,80205,CO,ratiobeerworks,http://ratiobeerworks.com
AVwdKVv_IN2L1WUfs1xc,925 W 9th Ave,Denver,US,39.730644,-104.999115,Renegade Brewing Co.,80204,CO,,http://www.renegadebrewing.com
AVwcfvMbkufWRAb5vxr_,2401 Blake St,Denver,US,39.7584,-104.9894,River North Brewery,80205,CO,,http://rivernorthbrewery.com
AVwchFFvByjofQCxfGTZ,1001 16th St,Denver,US,39.7474795,-104.994972,Rock Bottom Brewery,80265,CO,rockbottom,http://rockbottom.com/Denver-Downtown
AV5NZZTxa4HuVbedB2d_,Denver International Airport,Denver,US,39.73958,-104.98731,Rock Bottom Restaurant & Brewery,,CO,,
AVweU18zIN2L1WUf38Oa,2161 Blake St,Denver,US,39.755753,-104.99242,Sandlot Brewery,80205,CO,,http://bluemoon.com
AV1dDKlQ3-Khe5l_Mjh9,3610 W Colfax Ave,Denver,US,39.7402,-105.0347,Seedstock Brewing Co,80204,CO,,
AV1TqwYh3D1zeR_xE-fc,2736 Welton Street,Denver,US,39.755076,-104.977123,Spangalang Brewery,80205,CO,,http://spangalangbrewery.com/
AV2gdeHWa4HuVbed-NY8,2401 Blake St,Denver,US,39.7584,-104.9894,Spruce Tap House,80205,CO,,
AVwcy0nLIN2L1WUfo9ey,8286 E Northfield Blvd.,Denver,US,39.780914,-104.89243,Stapleton Tap House,80238,CO,,
AVweX2NDByjofQCxxoDe,7045 E 38th Ave,Denver,US,39.7695694,-104.9059677,Station 26 Brewing Company,80207,CO,,http://station26brewing.co
AVwcjJ7AByjofQCxffP2,2811 Walnut St,Denver,US,39.761694,-104.98384,Stem Ciders,80205,CO,stemciders,"http://stemciders.com,http://stemciders.com/"
AVweANNXkufWRAb5_JH0,1330 Zuni St,Denver,US,39.73711631,-105.0148008,Strange Craft Beer Company,80204,CO,strangecraftco,http://strangecraft.com
AV1c8mQz3-Khe5l_MT_z,88 Steele St 25,Denver,US,39.7175,-104.9495,Teakoe & Co,80206,CO,,
AV1TpzSCFcQ3k02bFSki,1735 19th Street,Denver,US,39.755074,-104.99714,The Denver Chophouse and Brewery,80202,CO,,http://www.denverchophouse.com/
AV3c1vwYRxPSIh2ReNwS,925 West 8th Avenue,Denver,US,39.7291,-104.9992,The Intrepid Sojourner Beer Project,80204,CO,,https://www.sojournerbeers.com/
AVwegdcu_7pvs4fzDpMH,900 Auraria Pkwy,Denver,US,,,Tivoli Brewing Company,80204,CO,tivolibeer,http://tivolibeer.com
AVwc1aw3ByjofQCxitRx,227 Broadway,Denver,US,39.71993776,-104.9876958,Trve Brewing Co.,80203,CO,trvebrewing,http://trvebrewing.com
AV1Tpyv53D1zeR_xE0wO,1700 Vine Street,Denver,US,39.7434,-104.962,Vine Street Pub & Brewery,80206,CO,,http://www.mountainsunpub.com/
AV2gdeO6RxPSIh2RdWgA,1001 16th St A100,Denver,US,,,Walnut Brewery Inc,80265,CO,,
AVzj6OapFcQ3k02bCneM,3131 Walnut St 1,Denver,US,,,Walnut Room,80205,CO,,
AVzA9Pl5-gnIPe8DSe2T,6733 W Colfax Ave,Denver,US,,,Westfax Brewing Co,80214,CO,,
AVwdTwU1_7pvs4fz4gwi,1633 Monroe St,Denver,US,39.741901,-105.515601,Westwind Tavern,80206,CO,,
AVwch8GtByjofQCxfQd7,2505 W 2nd Ave,Denver,US,39.72079535,-105.017597,Wits End Brewery,80219,CO,witsendbrewing,http://www.witsendbrewing.com
AVwc2E2VIN2L1WUfphDU,1555 Blake St,Denver,US,39.750288,-104.999768,World of Beer,80202,CO,mapquest,"http://worldofbeer.com/Locations/Lodo,http://mapquest.com"
AVwdhk0DIN2L1WUfwqtr,7260 W Alaska Dr,Denver,US,39.709068,-105.077258,World of Beer,80226,CO,,http://worldofbeer.com/Locations/Belmar
AVwefHWJkufWRAb5DX1b,1201 Sheridan Blvd,Denver,US,39.735237,-105.053418,World's End Brewing,80214,CO,,
AVwdc6ZOIN2L1WUfv-Ab,1634 18th St,Denver,US,39.753357,-104.99854,Wynkoop Brewing Company,80202,CO,wynkoop,http://www.wynkoop.com/
AVweKogE_7pvs4fzAnd5,3300 Navajo St,Denver,US,39.764431,-105.004141,Zitro Cityview Tavern,80211,CO,,
AV1TroxMLD2H7whiaK6s,2736 Welton Street,Denver,US,39.755077,-104.97712,Zivix Five Points,80205,CO,,
AVz-4KMHFcQ3k02bDl7p,2355 W 29th Ave. Denver CO,Denver,US,,,Zuni Street Brewing Company,80211,CO,,
