id_,address,categories,city,country,latitude,longitude,name_,postalCode,province,twitter,websites
AVwcndqPByjofQCxgRxr,1700 Vine St,"Brewery,Beer Garden,American Restaurant,Brewery, Beer Garden, and American Restaurant,Brewery, Beer Garden, and American Restaurant City Park West",Denver,US,39.7433781,-104.9619788,Vine Street Pub & Brewery,80206,CO,,"http://mountainsunpub.com,http://www.mountainsunpub.com"
AV1TpzSCFcQ3k02bFSki,1735 19th Street,"Restaurant,American,Steak House,Brewery",Denver,US,39.755074,-104.99714,The Denver Chophouse and Brewery,80202,CO,,http://www.denverchophouse.com/
AV1TqwU5LD2H7whiaGRN,Blake Street and 22nd Street,"Restaurant,American,Brewery",Denver,US,39.755966,-104.99239,Blue Moon Brewery,80205,CO,,
AV1TqxDj-gnIPe8DWj1S,1290 S Broadway,"Restaurant,Brewery",Denver,US,39.737567,-104.9847179,Former Future Brewery,80210,CO,,http://www.blackprojectbeer.com/
AVweETJPByjofQCxu_C4,1414 Market St.,"Restaurant,American,breweries & brew pubs",Denver,US,39.74828,-105.00037,Oak Tavern,80202,CO,,
AVwcy0nLIN2L1WUfo9ey,8286 E Northfield Blvd.,"Restaurant,Bars & Pubs,Breweries",Denver,US,39.780914,-104.89243,Stapleton Tap House,80238,CO,,
AVwc2Xer_7pvs4fzznKb,2560 W 2nd Ave,brewery,Denver,US,,,Colorado Cider Co,80219,CO,co_cider,
AVzA_Y4SLD2H7whiWI1h,38th St,Brewery,Denver,US,,,Blue Moon Brewing Company @ RiNo District,,CO,,
AVwdmY5OByjofQCxqtit,471 Kalamath St,"Beer Gardens,Bars & Pubs,Breweries,Beer & Ale Distributors,Beer & Ale Retail",Denver,US,39.723645,-105.000371,Crazy Mountain Brewery Tap Room,80204,CO,,
AVwdCsKZByjofQCxk5WD,5217 W 25th Ave,"Bars & Pubs,Breweries",Denver,US,39.753508,-105.129784,Joyride Brewing Co,80214,Wheat Ridge,,
AVwcjJ7AByjofQCxffP2,2811 Walnut St,"Brewery,Bar,restaurant",Denver,US,39.761694,-104.98384,Stem Ciders,80205,CO,stemciders,"http://stemciders.com,http://stemciders.com/"
AVyirrHJKV4T4IkwNaP1,925 W 8th Ave,"Brewery,Pub,Beer Store",Denver,US,,,The Intrepid Sojourner Beer Project,80204,CO,,
AVwejdNaIN2L1WUf6B5e,4430 W 29th Ave,Breweries & Wineries,Denver,US,,,Hogshead Brewery,80212,CO,,http://www.hogsheadbrewery.com
AVwcqPp6_7pvs4fzxkj5,1801 California St,"Metal Products Wholesale & Manufacturers,Breweries,Beverages Retail,Beer & Ale Distributors,Alcoholic Beverages Wholesale & Manufacturers",Denver,US,39.747281,-104.989791,Molson Coors Brewing Co,80202,CO,,
AV1c8mQz3-Khe5l_MT_z,88 Steele St 25,"Beverage Manufacturers,Coffee Tea Manufacturers,Breweries",Denver,US,39.7175,-104.9495,Teakoe & Co,80206,CO,,
AV1c8yeG3-Khe5l_MU2b,2924 W 20th Ave,Brewers,Denver,US,39.7475,-105.024,Little Machine,80211,CO,,
AV1dDoPjIxWefVJwezDr,3316 W 64th Ave,"Wineries,Brewers",Denver,US,39.8118,-105.0303,Spero Winery,80221,CO,,
AV1dDKnG3-Khe5l_MjiA,1441 W 46th Ave,Brewers,Denver,US,39.7807,-105.0047,Crooked Stave Co Distributing,80211,CO,,
AV1c8yeA3-Khe5l_MU2a,1801 California St 4600,Brewers,Denver,US,39.7471,-104.9899,Molson Coors Brewing Co,80202,CO,,
AV492ksaIxWefVJwlWqA,Denver International Airport,"Restaurant,American,Pizza,Pubs,Brewery",Denver,US,39.73958,-104.98731,Rock Bottom Restaurant & Brewery,,Colorado,,
AVzBEfEYFcQ3k02bBd2p,7101 East Colfax Ave,Brewery,Denver,US,,,Fiction Beer Company,80220,CO,,
AVwdKVv_IN2L1WUfs1xc,925 W 9th Ave,"Brewery,Restaurant",Denver,US,39.730644,-104.999115,Renegade Brewing Co.,80204,CO,,http://www.renegadebrewing.com
AVzYhbSR3D1zeR_xBsQT,22nd and Blake,"Bars And Pubs,Craft Breweries",Denver,US,,,Blue Moon Brewing Company,80205,CO,,
AVwdOxI6kufWRAb53r_R,520 E Colfax Ave,"Breweries,Brewery",Denver,US,39.739902,-104.980073,Lost Highway Brewing Co,80203,CO,,http://www.losthighwaybrewing.com
AVwd1cPw_7pvs4fz9r74,4970 Lowell Blvd,"Breweries,Brewery,Gold Silver & Platinum Buyers & Dealers",Denver,US,39.786845,-105.034408,Goldspot Brewing Co,80221,Thornton,goldspotbrew,http://goldspotbrewing.com
AV1c8mRnIxWefVJwei6K,5951 Marion Dr A,"Beverage Manufacturers,Vending Machine Manufacturers,Coupons Accepted,Breweries,Other Business Services,Wholesalers,Wholesale Vending Machines",Denver,US,39.8048,-104.9708,Action Enterprises Inc,80216,CO,,
AVwcwx3PByjofQCxh55j,925 W 9th Ave,Breweries,Denver,US,39.730657,-104.998913,Renegrade Brewing,80204,CO,,
AVwcgK-F_7pvs4fzvxT9,1338 S Valentia St,"Water Filtration Equipment Retail,Home Water Filtration Equipment,Chemical Water Purification,Water Purification Services,Water Analysis Equipment & Supplies,brewery,Industrial Equipment & Supplies Dealers,Water Testing Laboratories,Testing Laboratories,Bottled & Bulk Water,Water Treatment Service Equipment & Supplies",Denver,US,39.692422,-104.891554,Highland Water,80247,CO,copperkettleden,http://www.copperkettledenver.com/
AV2gdeLGIxWefVJwi6gg,4950 Nome St E,Brewers,Denver,US,,,Leopold Brothers,80239,CO,,
AV1c8mQl3-Khe5l_MT_x,1050 S Wadsworth Blvd Ste B,"Hobby Events,Beverage Manufacturers,Brewers,Breweries,Bars Pubs,Crafts Hobbies,General Merchandise Stores",Denver,US,39.6976,-105.0814,Barley Haven,80226,CO,,
AV1eRowYa4HuVbed6skO,2401 Blake St Ste 2,"Brewers,Wineries",Denver,US,39.7585,-104.9891,Flying Dog Brewery,80205,CO,,
AV5Bp9E0a4HuVbedBM7M,2924 W 20th Ave,Brewers,Denver,US,39.7473,-105.0243,Little Machine Brew House,80211,CO,,
AV43iF2P3-Khe5l_SR8L,2924 W 20th Ave,Brewers,Denver,US,39.7473,-105.0243,Little Machine Brew House,80211,CO,,
AVwcmreKByjofQCxgJHh,7101 E Colfax Ave,"Brewery,restaurant",Denver,US,39.74032636,-104.9056578,Fiction Beer Company,80220,CO,fictionbeer,http://www.fictionbeer.com
AVzBCtKA-gnIPe8DSiVU,520 E Colfax Ave,Brewery,Denver,US,,,Lost Highway Brewing Company,80203,CO,,
AVzA9Pk_-gnIPe8DSe2S,1057 S Wadsworth Blvd,Brewery,Denver,US,,,CAUTION: Brewing Company,80226,CO,,
AVwcrlAtIN2L1WUfntqX,6921 Lowell Blvd,breweries & brew pubs,Denver,US,39.822472,-105.034535,Outpost Bar,80221-2654,CO,,
AV12jiXZIxWefVJwiCbC,7045 E 38th Ave,Brewers,Denver,US,39.7696,-104.9059,Station 26 Brewing,80207,CO,,
AV50m-RtIxWefVJwplj_,1001 16th St Ste 100,"Banquet facilities,Breweries and brew pubs,Karaoke,Restaurants,Bar and grill restaurants,Pub restaurants",Denver,US,,,Rock Bottom Brewery Restaurant-denver,80265,CO,,
AVweCJL2ByjofQCxusFF,6021 Washington St,"Brewery,Brew Pubs,Beer & Ale",Denver,US,39.80638,-104.97809,River North Brewery,80216,CO,,
AVzj6OapFcQ3k02bCneM,3131 Walnut St 1,"Breweries and brew pubs,Halls and auditoriums,Pizza,Restaurants,American restaurants,Bar and grill restaurants,Bars Pubs,Bars Clubs,Neighborhood Bars,Halls Auditoriums",Denver,US,,,Walnut Room,80205,CO,,
AVwdYX1qByjofQCxogns,Concourse C near C32,"Pub,Brewery,American Restaurant,Pub, Brewery, and American Restaurant,Pub, Brewery, and American Restaurant Denver International Airport",Denver,US,39.8630572,-104.676083,Rock Bottom Restaurant & Brewery,80249,CO,hmshost,http://rockbottom.com
AVwc4Hb1kufWRAb5z9nt,at Concourse A,"Steakhouse,American Restaurant,Brewery,Steakhouse, American Restaurant, and Brewery",Denver,US,39.85380962,-104.6738076,Denver Chop House & Brewery,80202,CO,hmshost,http://denverchophouse.com
AVwegOZ8kufWRAb5DilT,1715 E Evans Ave,"Brewery,Brewery University",Denver,US,39.67862122,-104.9670275,FERM��NTRA,80210,CO,,http://fermaentra.com
AVwdIhuy_7pvs4fz2luk,45 Federal Blvd,"Clothing-retail,Restaurants,American restaurants,Bar and grill restaurants,Bars Pubs,Bars Clubs,Taverns,Sleepwear,Clothing,breweries & brew pubs",Denver,US,39.7176,-105.0253,El Ballezano,80219,CO,,
AVzBDt_hLD2H7whiWLbj,1257 W 120th Ave,"American Restaurant,Brewery",Denver,US,,,C.B. & Potts,80234,CO,,
AV5Xys4HRxPSIh2Riuha,320 Broadway,Brewers,Denver,US,39.7214,-104.9871,Bare Brewing Co,80203,CO,,
AV5XxeYTRxPSIh2Rir9j,2501 Sheridan Blvd,Brewers,Denver,US,39.7532,-105.0537,Joyride Brewing,80214,CO,,
AVwdTptL_7pvs4fz4fpQ,7314 Washington St,Brewery,Denver,US,,,Creede Brewing Company,80229,CO,,
AVwdKm-qkufWRAb52-X3,1710 S Broadway,"Brewery,Brewery Platt Park,restaurant",Denver,US,39.68551286,-104.9873892,Grandma's House,80210,CO,grandmasbeerco,http://www.grandmasbeer.co
AVweHjS1_7pvs4fzAMnJ,3845 Lipan St,"Brewery,Bar",Denver,US,,,Factotum Brewhouse,80211,CO,factotumbrew,http://www.factotumbrewhouse.com
AVzBDa6q3D1zeR_xBF6x,2560 W 2nd Ave. #10,Brewery,Denver,US,,,Colorado Cider Company,80219,CO,,
AVwduj2HkufWRAb58sux,2601 Walnut St,"Brewery,Brewers",Denver,US,39.7593,-104.9863,Zephyr Brewing Co.,80205,CO,,
AVzBDM5QFcQ3k02bBdRH,2811 Walnut St Unit 150,"Brewery,Bar",Denver,US,,,Stem Ciders,80205,CO,,
AVweJNOf_7pvs4fzAawg,2201 Arapahoe St,"Brewery,Bars And Pubs,Breweries,Brewers,Wineries",Denver,US,39.7536,-104.9885,Great Divide Brewing Co.,80205,CO,greatdividebrew,http://www.greatdivide.com
AVwd2_dekufWRAb593yG,2920 Larimer St,"Brewery,Brewers,Brewery Curtis Park",Denver,US,39.7615,-104.981,Ratio Beerworks,80205,CO,ratiobeerworks,http://ratiobeerworks.com
AV49C3vO3-Khe5l_Sx5V,1875 S. Pearl St,"Restaurant,Pubs,Brewery",Denver,US,39.682568,-104.98078,Denver pearl brewing,,Colorado,,
AV49A_6URxPSIh2Rfwl5,Denver,"Restaurant,American,Bar,Brewery",Denver,US,39.862954,-104.676017,Rock Bottom Restaurant & Brewery,,Colorado,,
AVweaIC8IN2L1WUf4pSm,4460 W. 29th Ave,"Restaurant,Pubs,Brewery,Brewery Sloan Lake",Denver,US,39.75821,-105.04504,Hogshead Brewery,80212,CO,,"http://www.hogsheadbrewery.com/,http://hogsheadbrewery.com"
AV1TpzKf-gnIPe8DWaO3,800 Lincoln Street,"Restaurant,American,Pizza,Pubs,Brewery",Denver,US,39.72931,-104.98615,Lowdown Brewery + Kitchen,80203,CO,,http://www.lowdownbrewery.com/
AVwcuVZuByjofQCxheeb,4526 Tennyson St,"Restaurant,Italian,Pizza,Mexican,Brewery,Juice bars,Karaoke,Restaurants,American restaurants,Health food restaurants,Italian restaurants,Mexican restaurants,Natural food restaurants,Vegetarian restaurants",Denver,US,39.778929,-105.043609,Mas Kaos Pizzeria & Taqueria,80212,CO,,"https://maskaosdenver.com/,https://maskaosdenver.com"
AVweSwRJByjofQCxw802,1309 26th St.,"Bar,Restaurant,Breweries and brew pubs,Household kitchen cabinets and equipment,Restaurants,Bar and Restaurant Curtis Park",Denver,US,,,First Draft Taproom & Kitchen,80205,CO,firstdraftden,http://www.firstdraftdenver.com
AVwdaBdEIN2L1WUfve4-,1139 20th St,"Restaurant,Pubs,Brewery",Denver,US,39.75226,-104.99139,Jagged Mountain Brewery,80202,CO,,"http://www.jaggedmountainbrewery.com/,http://jaggedmountainbrewery.com"
AV1TpzKXFcQ3k02bFSjA,490 Santa Fe Drive,"Restaurant,Pizza,Pubs,Brewery",Denver,US,39.723938,-104.9983,Black Sky Brewery,80204,CO,,
AVwdOyrQkufWRAb53sQx,471 Kalamath St,"Restaurant,American,Barbecue,Brewery,Barbecue Restaurants,Bars,Taverns,Caterers,Brew Pubs,American Restaurants,Breakfast Brunch & Lunch Restaurants,,Restaurants",Denver,US,39.72361,-105.00019,Breckenridge Brewery and BBQ,80204,CO,breckbrew,"http://www.breckbrew.com/food/bbq.html,http://www.breckbrew.com"
AVwcfvMbkufWRAb5vxr_,2401 Blake St,"Restaurant,Pubs,Brewery",Denver,US,39.7584,-104.9894,River North Brewery,80205,CO,,http://rivernorthbrewery.com
AV1TroW_3D1zeR_xFDFn,1330 Zuni St,"Restaurant,Brewery",Denver,US,39.73722,-105.01526,Strange Brewing Company,80204,CO,,
AVwc6TNokufWRAb50VTP,1290 S Broadway,"Brewery Platt Park,Brewery",Denver,US,39.69339001,-104.9872123,Former Future,80210,CO,,
AV2gdeMsRxPSIh2RdWf8,4255 Carson St,Brewers,Denver,US,,,Crooked Stave Articans,80239,CO,,
AV1eRcjBRxPSIh2RZzKl,2100 E 112th Ave,Brewers,Denver,US,,,Beer By Design,80233,CO,,
AVwd9hotByjofQCxuCsy,2810 Larimer St,"Brewers,Breweries,Wineries",Denver,US,39.760505,-104.982564,Our Mutual Friend Malt & Brew,80205,CO,,
AV1TqyBiFcQ3k02bFcSO,Denver International Airport,"Restaurant,American,Pizza,Pubs,Brewery",Denver,US,39.73958,-104.98731,Rock Bottom Restaurant & Brewery,,CO,,
AVwcke0xByjofQCxfvU1,7667 E Iliff Ave,Brewery,Denver,US,,,Comrade Brewing Company,80231,CO,comradebrewing,
AVwdV7aDIN2L1WUfuz0N,12445 E 39th Ave,Brewery,Denver,US,,,Caution: Brewing Co.,80239,CO,cautionbrewing,https://www.facebook.com/cautionbrewingco
AVwcwAKFIN2L1WUfoeR1,1338 S Valentia St,Brewery,Denver,US,,,Copper Kettle Brewing Company,80247,CO,copperkettleden,http://www.copperkettledenver.com
AVwch8GtByjofQCxfQd7,2505 W 2nd Ave,Brewery,Denver,US,39.72079535,-105.017597,Wit���s End Brewery,80219,CO,witsendbrewing,http://www.witsendbrewing.com
AVweTVb-IN2L1WUf3vRq,1057 S Wadsworth Blvd,Brewery and Hobby Shop Belmar Park,Denver,US,,,Barley Haven,80226,CO,barleyhaven,http://barleyhaven.com
AVzA_a9rLD2H7whiWI2V,3610 W Colfax Ave,Brewery,Denver,US,,,Seedstock Brewery,80204,CO,,
AVwdLkFAIN2L1WUftDZY,5809 W 44th Ave,"Liquor Stores,Liquor Store,Wine Shop,Breweries,Beer & Ale Distributors,Wine & Distilled Beverages Retail,Beer & Ale Retail,Liquor Store and Wine Shop Lakeside",Denver,US,39.77668,-105.06026,Molly's Spirits,80212,CO,mollysspirits,"http://mollysspirits.com,http://www.mollysspirits.com"
AVwcglu_ByjofQCxfA1I,1505 Ogden St,"Brewery,Brewery North Capitol Hill",Denver,US,,,Alpine Dog Brewing Company,80218,CO,,http://alpinedogbrewery.com
AV1dDKnf3-Khe5l_MjiB,2585 S Lewis Way C,Brewers,Denver,US,,,Green Mountain Brewery,80227,CO,,
AVwdLBQoByjofQCxmP6m,1057 S Wadsworth Blvd,Brewery Belmar Park,Denver,US,,,Caution Lakewood,80226,CO,cautionbrewing,http://cautionbrewingco.com
AV12kK2a3-Khe5l_P2M6,1390 W Evans Ave,"Brewers,Wineries",Denver,US,39.6769,-105.0051,Del Norte Brewing Co,80223,CO,,
AV2gdeMdIxWefVJwi6gh,1421 E 26th Ave,Brewers,Denver,US,39.7545,-104.9704,Zephyr Brewing Co,80205,CO,,
AV1c8mROIxWefVJwei6F,3825 York St,"Beverage Manufacturers,Bottlers,Breweries",Denver,US,39.7704,-104.9618,Coca-Cola Bottling Co.,80205,CO,,
AV1c8ygNRxPSIh2RZAZy,1505 Ogden St,"Bars Clubs,Brewers,Liquor Stores",Denver,US,39.7401,-104.9748,Alpine Dog Brewery,80218,CO,,
AVwcx-m8ByjofQCxiHrZ,1875 S. Pearl St.,Brewery,Denver,US,39.682567,-104.980497,Platt Park Brewing Co,80210,CO,plattparkbrew,http://www.plattparkbrewing.com
AVwcv4s-kufWRAb5ymNk,320 N Broadway,Brewery,Denver,US,39.721387,-104.986952,Baere Brewing Co.,80203,CO,baerebrewing,http://www.baerebrewing.com
AVzBEfKD-gnIPe8DSjHL,1338 S Valentia St #100,Brewery,Denver,US,,,Copper Kettle Brewing Company,80247,CO,,
AV49C7kKIxWefVJwlU0b,Denver International Airport,"Restaurant,American,Pizza,Pubs,Brewery",Denver,US,39.73958,-104.98731,Rock Bottom Restaurant & Brewery,,Colorado,,
AV1Tqs8b3D1zeR_xE-Pa,2920 Larimer Street,"Restaurant,Brewery",Denver,US,39.761572,-104.981146,Ratio Beerworks,80205,CO,,http://ratiobeerworks.com/
AVwcxHpPByjofQCxh-AC,902 S Lipan St,"Brewery,Brewery Athmar Park",Denver,US,39.69975735,-105.0013854,Chain Reaction Brewery,80223,CO,,
AVzBDa6yFcQ3k02bBdWO,2505 W 2nd Ave Unit 13,Brewery,Denver,US,,,Wit���s End Brewery,80219,CO,,
AVweiUfq_7pvs4fzD7TV,1001 16th St,"Restaurant,Barbecue,Pizza,Pubs,Brewery,Food",Denver,US,39.747616,-104.99473,Rock Bottom Restaurant & Brewery,80265,CO,,
AV1TroXEFcQ3k02bFgmf,3350 Brighton Blvd,"Restaurant,Pubs,Brewery",Denver,US,39.768772,-104.97957,Crooked Stave Brewery,80216,CO,,
AV1Tpyv53D1zeR_xE0wO,1700 Vine Street,"Restaurant,American,Pubs,Brewery",Denver,US,39.7434,-104.962,Vine Street Pub & Brewery,80206,CO,,http://www.mountainsunpub.com/
